,menu
1005,Goat Tikka Masala (Bone In)
1006,Pork Chow Mein
1007,Veg Korma
1008,Pani Puri (For 8)
1009,Dinner (For One) Non-Vegetarian
1010,Mango Lassi Small Gallon
1011,Topi Dosa
1012,DESI CHICKEN CURRY
1013,Chana Pindi
1014,Beef Madras
1015,Lamb Dal
1016,VEGGIE CUTLET (4)
1017,Plain Yogurt
1018,Kadai Paneer
1019,Fish Or Shrimp Biryani
1020,Salt Lassi Large
1021,Yellow Dal Tadka
1022,Jeera Aloo (V)
1023,Vegetable Samosa (Vegan) (2 Pieces)
1024,PURE LEAF TEA UNSWEET
1025,Fever Tree Ginger Beer
1026,Catering Goat Vindaloo (Party)
1027,Peshawri Naan
1028,Onion Chutney (8 Oz)
1029,Onion Rava Dosa
1030,Paneer Chilli Large
1031,Steamed Momos
1032,57. French Fries
1033,Dahi Puri 10pc
1034,Masala Fish Fry
1035,Paneer Tika Masala (Rice Plate)
1036,Butter Roti
1037,Lunch Shahi Paneer Korma
1038,Lamb Coconut Korma (Lunch)
1039,Vegetable Spring Rolls (4 Pieces)
1040,Coconut Nan
1041,Daal Makhani ( Small Tray )
1042,Hot Masala Chai
1043,Tiffin Quick
1044,Vegetable Kabab
1045,Maaza
1046,Vege Chettinadu
1047,Plain Basket
1048,Quesadilla
1049,Minerva Special Tandoor Mix Grill
1050,Rice Small
1051,RASGULLA AMARKHAND LUNCH
1052,Pineapple Raita
1053,Tava Chapati
1054,Chana Chaat
1055,Baingan Mirch Salan Large
1056,Egg Gotala
1057,13. Kabuli Pulao Platter
1058,Indian Salad ( Large Tray )
1059,Chille Naan
1060,Dum Ka Gosht
1061,Bombay Bhel
1062,Paneer 555
1063,Garden Salad ( Small Tray )
1064,Vegetable Momo
1065,Goat Curry (Bone In)
1066,Crispy App Platter
1067,8 Oz. Curry Potato (Aloo)
1068,Dhaba Masala Chai
1069,Tomato Rasam Wada
1070,Medley Saag
1071,Corriander & Chilli Medium
1072,"""Chili Cheese"" Dosa"
1073,3. Meat + Vegetable Combo Platter
1074,Veg Kheema Dosa
1075,Rasamalai
1076,Diet Bread Basket
1077,SNAPPLE RASPBERRY TEA
1078,Paneer Chilli Gravy
1079,SNAPPLE STRAWBERRY PINEAPPLE LEMONADE
1080,Chicken Curry Large
1081,MUMBIACHI GRILLED SANDWICH BRUNCH
1082,Chicken Tiki Masala
1083,Joti Vegetarian Platter
1084,Saag Tikki (2 Pieces)
1085,CANNOLI W/ HEATH
1086,ZuZu Style Tandoori Masala Wings
1087,Pakistani Goat Karahi
1088,Kali Mirch Tikkey
1089,Grapefruit Fruit Juice
1090,Mango Chicken
1091,Lamb Chop Salad
1092,Onion Paratha
1093,Meat Samosas
1094,Shrimp Curry Medium
1095,Lunch Choley Bhatura
1096,Veg Fried Rice
1097,Chicken Tikka Masala Lunch
1098,Roganjosh
1099,Vegetarian Buss Up Shot Roti
1100,Chicken Fry Piece Pulao
1101,WHITE CHOCOLATE CRANBERRY COOKIE
1102,Lunch For One
1103,Tandoori Chicken (H)
1104,Chowmein
1105,Lamb Pasanda
1106,Subzi Sheekh Lucknow Style
1107,Haas Khadai
1108,Lamb Kothu Paratha
1109,Pulao Veg Korma
1110,Matar Paneer Small
1111,Ox-Tail Stewed 16oz
1112,Veg Bir
1113,Chana Bhatura
1114,SAAG PANEER LUNCH
1115,Lamb Saag Lunch
1116,Chicken Cheese Naan
1117,Nimki Chat
1118,Chana Masala Lunch
1119,Fresh Lime Soda
1120,Poori Masala
1121,Chicken Curry ( Small Tray )
1122,Sabz Kolapuri
1123,CHICKEN CEASAR SALAD
1124,Egg And Chicken Fried Rice
1125,Curry Bone Chicken & Bush Up Shot (Paratha) Roti
1126,Chicken MoMo (Jhol)
1127,Sheekh Kebab
1128,Shahi Bhindi Small
1129,Keema Pratha
1130,Rajugari Kodi Pulav
1131,Andhra Pepper Chicken
1132,Catering Lamb Korma (Party)
1133,Steamed Chicken MOMO
1134,Chow Mein/Nepalese Noodles
1135,BADAM MILK
1136,Bhuna Gobi Aloo
1137,Lamb Jalfrezi (Lunch)
1138,60. Rice
1139,Aloo Tawa Paratha
1140,Bottled Juice
1141,Avakai Chicken Biryani
1142,Extra Fried Chillies On A Side
1143,Salmon Mustard Tikka
1144,Goat Sukha
1145,Sze Chick Fried Rice
1146,Lunch Mixed Vegetable Curry
1147,Chicken Mushroom Do-Piaza
1148,PUMPKIN CURRY
1149,Cheese Masala Pav Mixed With Bhaji
1150,Gobhi Manchurian
1151,Vanila Shakes
1152,PANEER METHI CHAMAN
1153,Pinto Noir Bottle
1154,Pudina Neza Kebab
1155,Poori Small
1156,Catering Vegetable Pakora (Party)
1157,Desi Ice Cream Specials (Vadilal)
1158,SMALL FRY
1159,DD Mocha
1160,Extra Manchurian
1161,Vegetable Tandoori Momo
1162,Gosht Biryani
1163,Subz Panchmeal Small
1164,Chili Egg
1165,Lunch Aloo Gobi
1166,Goat Dal (With Bone) (Lunch)
1167,Kerala Shrimp Curry
1168,Puri Bhaji
1169,LATCHHA PARANTHA BRUNCH
1170,Misal- Pav
1171,Vegetarian Combo Dinner For Two
1172,Veggie Thali Set
1173,Reshmi Kebab
1174,Chicken Pao Bhaji
1175,Jeera Saag
1176,MISS VICKIES JALAPENO CHIPS
1177,Goat Chettinad
1178,Aloo Gobi Platter
1179,Malabar Fish Curry
1180,Cone Dosa
1181,Baby Corn Manchurian
1182,Chicken Chili
1183,Joti Special Vegetartian Dinner For Two
1184,Spring Water
1185,Tomato Pappu
1186,37. Lamb Tikka Naan
1187,BTL-Tormaresca 2023 Rosato
1188,Chicken Tikka ( app )
1189,Aloo Mutter Cheese Sandwich
1190,Catering Chicken Daal (Party)
1191,COOKIES & CREAM Crispy Treats
1192,"Plain Lassi, Mango Lassi, Sweet Lassi Or Salted"
1193,Masala Fries
1194,Catering Shrimp Korma
1195,Seekh Kabab
1196,Vegetable Do-Piazza
1197,Peas Pulao (Gluten Free)
1198,Tandoori Chicken Wings
1199,Swordfish Masala Small
1200,SADAA DOSAI
1201,Lamb Shish Kebab
1202,Kabab Pizza
1203,Veg Kothu Paratha
1204,Aloo Chaat
1205,Extra 8 Oz Pani Puri Water
1206,RESHMI PAKORAS SMALL
1207,6 PIECE WINGS
1208,Chettinad Podi Masala Dosa
1209,FRENCH FRY
1210,Veg. Jaipuri
1211,Caesar Salad
1212,Goat Pepper Fry
1213,Missi Roti
1214,Chicken Tandoori (Bone In)
1215,Paneer Tiki Masala
1216,Tawa Idli
1217,Fish Manchuria Dry
1218,DHANIA MACHI
1219,Veg Biryani Medium
1220,Tandoori Aloo Naan
1221,Mango Kulfi
1222,Lamb Curry Catering
1223,Veggie Platter
1224,LAMB BIRYANI LUNCH
1225,Egg Bhurji
1226,38. Chicken Tikka Mix Masala Plate
1227,DIET COKE CAN
1228,Manchow Soup Veg.
1229,Aloo Ghosht
1230,Sparkling Water
1231,Catering Channa Masala
1232,53. 6 PCS MIX CHAPLY KEBABS PLATES
1233,Badami Kulfi Medium
1234,Chick Tikka Masala
1235,Goat Karahi
1236,Catering Can Of Soda
1237,Goat Kadhai (Bone In)
1238,Plantain Momo
1239,MODELO
1240,4 Pieces Gulab Jamun
1241,Fried Papad
1242,Makhmali Paneer
1243,Mix MoMo (Steam)
1244,62. Baklava
1245,Telangana Mutton Fry
1246,Tomato Chilly Uttapam
1247,Lamb Shank (1 pcs)
1248,Catering Mango Chicken
1249,Chicken Hariyali Tikka
1250,Monster Zero Ultra
1251,Stuffed Kulcha
1252,Cheese Pulav
1253,Chicken Baingan Korma Masala
1254,Chicken Tikka Wrap
1255,Chicken Tikka (5 Pcs)
1256,Ginger Garlic Prawns (Special Shrimp)
1257,Kesari Kheer
1258,Reshmi Kabab
1259,Bhel
1260,Catering Vegetable Cutlet
1261,Chicken Mughlai
1262,Reshmi Pakoras
1263,Saag Lamb
1264,Natukodi Curry
1265,Beef Chapli (2 pcs)
1266,Bahubali Sandwich
1267,Meat Combo
1268,SWEET LASSI
1269,Egg And Chicken Hakka Noodles
1270,Sev Tamatar 12oz & Parotta 3pc &Salad
1271,Bhindi Masala (Vegan)
1272,Chicken Momo Masala
1273,Sheekh Kabob
1274,40. Chicken Chapli Mix Masala Plate
1275,Lamb Bhuna Punjabi
1276,SAMOSA CHAAT
1277,Veg. Kolhapuri
1278,Chicken Tikka Dry
1279,LAMB OVER ME
1280,Chili Gobhi (Cauliflower)
1281,Mixed Raita
1282,Sze Shrimp Fried Rice
1283,Bhindi Masala (Lunch)
1284,Lamb Do-Pazza
1285,Masala Sauce 16oz
1286,Shrikhand
1287,Pondicherry Cheese Dosa
1288,Vegetable Manchurian
1289,Rice Pudding (Kheer)
1290,Chapli Kabab
1291,Aloo Bhaji
1292,Poori (2 Pcs)
1293,Kabab Salad
1294,CHICKEN BIRYANI BRUNCH
1295,Lamb Cochin
1296,Shrimp Tikka Saag
1297,Mango Shrimp
1298,Kebob Tasting Platter
1299,Mozzarella Cheese Sticks
1300,Malawi Kofta
1301,Vegetable
1302,Tofu Vindaloo
1303,Lassi Drink
1304,Babai Idli
1305,Medley Tikka Masala
1306,Catering Bottled Water
1307,Schezwan Chicken Fried Rice
1308,Dahi Sev Poori
1309,Rava Onion Dosa
1310,Chicken Saag Small
1311,Lamb Bhuna Gosht
1312,Aloo Gobi ( Large Tray )
1313,Chicken Do.Pazza
1314,Shammi Kabab
1315,Shrimp Balti
1316,Sweet Lassi (16 Cups)
1317,Schezuan Egg Fried Rice
1318,Chicken Combo
1319,Full Size Td Chicken
1320,Steamed Basmati Rice
1321,30. Chicken Tikka Naan
1322,Jhinga Biryani
1323,Chicken Xacuti
1324,Vegetable Masala
1325,Chicken Paneer Masala - House Special
1326,Beef/Lamb/Goat Minced Curry
1327,Chicken Korma Small
1328,Mediterranean Hummus Plate
1329,Gobhi Charchi
1330,Goat Vindaloo (Bone In)
1331,MUSHROOM SAMOSA SMALL
1332,Dinner Two Veg
1333,Aloo Paratha With Curd
1334,Guntur Cut Mirchi
1335,Kung Pao Paneer
1336,Mysore Plain Dosa
1337,Vegetable Pakora
1338,Chili Bajji
1339,Spinash Dasa
1340,Pista Falooda
1341,Goat Curry Medium
1342,Futchka/Pani Puri (6 Pc)
1343,Hyderabad Chicken Curry
1344,Tandoori Shrimp Salad
1345,Special Hariyali
1346,Shrimp Masala
1347,Paneer Spinach MoMo (Steam)
1348,Chili Gobi
1349,Papad Fried
1350,Beef Sali Boti
1351,Vegetable Samosa (3 Pieces)
1352,Goat Masala Curry
1353,Goat Coconut (With Bone) (Lunch)
1354,Vegetable Samosa
1355,Lamb Shahi Korma (Lunch)
1356,Idli Sambar (3pc)
1357,Kadai Panner ( Small Tray )
1358,Catering Beef Curry (Party)
1359,Vegetarian Platter
1360,Chicken Do Piaza Small
1361,Chicken Manchuria Gravy
1362,Reshmi Chicken Pakoda
1363,Mix Pickke
1364,Cheese Chutney
1365,Chili Chicken (Lunch)
1366,Masala Pav Mixed With Bhaji
1367,Gongura Special Chichken Biryani
1368,Lamb Tikka Roll-Up
1369,Chicken Nuggets
1370,8 OZ Spicy Garlic Chutney
1371,Shahi Bhindi Large
1372,Garlic Shrimp
1373,Nan
1374,Saffron Basmati Rice (Small Tray)
1375,Himalayan Malai Kebob
1376,Catering Chicken Mushroom Balti (Party)
1377,Medley Vindaloo
1378,Kathmandu Style Chow Mein Noodles
1379,Lamb Curry ( Small Tray )
1380,Lamb Sheekh Kebab
1381,Salmon Tikka Masala
1382,South Indian Rasam
1383,Chur Chur Naan
1384,Chutneys and Mixed Pickle
1385,Spinach Pakora
1386,Mixed Vegetable Tandoori
1387,Food Ticket
1388,Hariyal Veg Grill
1389,Mix Green Salad
1390,43. Lamb Tikka Mix Masala Plate
1391,White Basmati Rice
1392,"Onions, Lemon, Chillis"
1393,"Egg ""Tikka"" Masala"
1394,Chicken Tikka (8 pcs)
1395,Chicken Chili Medium
1396,Veg Butter Paneer Masala
1397,Mozzarella Naan Medium
1398,Mix MoMo (Chilly)
1399,Beef Saag
1400,1/2 Tandoori Chicken (Bone-In)
1401,Shrimp Vindaloo
1402,Chicken Chili Masala (Hot)
1403,Juice
1404,Paneer Nan
1405,"""Kissan Jam"" Dosa"
1406,Pulav Small Tray
1407,Vegetarian Manchurian
1408,Shrimp Pakora
1409,Chana Masala Meal
1410,Goat Tikka Saag
1411,Vegetable Coconut Korma
1412,Panner Dosa
1413,Chicken Do Piaza
1414,TAVA MURGH BRUNCH
1415,Appolo Fish
1416,Chicken Chana Paneer Masala - House Special
1417,Chicken Kadahi
1418,SAM ADAM Small
1419,Mahi Mahi Curry
1420,MUSHROOM SAMOSA MEDIUM
1421,Lamb Uttapam
1422,Daal Makhani ( Large Tray )
1423,Chicken Chaat
1424,Chicken Vindaloo Small
1425,Makki De Roti
1426,Chef'specialGrill
1427,Chicken Jalfrizi
1428,Fish Tikka
1429,Mixed Pickles
1430,Chicken Fry Biryani (Bone-In)
1431,Onion Uthappam
1432,TAJ MAHAL Small
1433,Biryani
1434,Brookline Bajji
1435,Murgh Aftabi
1436,Lamb Curry Medium
1437,Onion Bajji
1438,Aloo Masala Spicy Junglee Sandwich
1439,Dhaba Jerk Chicken
1440,Tandoor Mixed Grill
1441,GLS- Tormaresca 2023 Rosato
1442,Kulfi Badam Pista
1443,Tofu Chilli
1444,8 Oz. Curry Chickpeas
1445,Bhindi Masala ( Small Tray )
1446,Karahi Goat
1447,Aloo Parotha
1448,Plasticware
1449,Chicken Tikka (Small Tray )
1450,Bomaby Aloo
1451,Aloo Gobhi
1452,Shrimp Jalfrezi (Lunch)
1453,SIMPLY VEG
1454,Butter Milk
1455,Jalebi (3pc)
1456,Shrimp Yakisoba
1457,Tangdi Kebab
1458,Mushroom Baby Corn Masala
1459,Lamb Masala Dosa
1460,Shan-A-Punjab Biryani
1461,Catering Lamb Paneer
1462,Fresh Orange Juice
1463,Paradise Dal Fry
1464,Grilled Salmon Over Greens
1465,Darjeeling Tea
1466,Paneer Handi
1467,"Butter ""Chana"" Curry (Chickpeas ""Butter"" Special)"
1468,Mango Chicken (Maya Special)
1469,Catering Aloo Matar
1470,Shanti Iftar Box w/ Shami Kebab
1471,Chicken Momo Platter
1472,Soda Can
1473,Punjabi Khadi
1474,SPECIAL SH*T SEASONING
1475,Paani Poori
1476,Shahi Panner Korma ( Large Tray )
1477,Sweet And Sour Shrimp
1478,Gobi Manchurian (Appetizer)
1479,Lunch Chicken Vindaloo
1480,Malai Kofta ( Large Tray )
1481,Lunch Saag Paneer
1482,Palak Paneer
1483,Manchurian Fried Rice
1484,Beet Salad
1485,Chicken Pav Bhaji
1486,"""Begum Bazaar"" Mixed Fried Rice"
1487,Mix MoMo (Jhol)
1488,Corn Paneer Capsicum
1489,Bhel Puri
1490,Saffron Mint And Ginger Scallops
1491,Chicken Curry Dehati
1492,Vijayawada Spl Chicken Biryani
1493,Salmon Fish Tikka
1494,Badam Milk
1495,Lentil Soup (Lunch)
1496,Aloo Tikki Chat With Tea
1497,Goat Korma Large
1498,Vegan Tofu Tikka Masala
1499,Shrimp Sagwala
1500,Tofu Jalfrezi (Vegan)
1501,Super Green
1502,Goat Cochin
1503,Virsa Spiced Chicken Wings
1504,Chicken Kurma
1505,Boneless Chicken Biryani
1506,Paneer Utappam
1507,Kashmiri Goat Vindaloo
1508,Mango Chicken Large
1509,Shrimp Vindaloo (Lunch)
1510,Pepsi (2 Liter)
1511,Gongura Chicken Curry
1512,Chilly Cheese Sandwich/Grilled
1513,Tikki Chole
1514,Catering Beef Saag
1515,Catering Tarka Dal (Party)
1516,Keema Matar Masalewala
1517,Ghobi Parotha
1518,Himalayan Kebob
1519,Sweet Potato Masala
1520,BULL SH*T SEASONING
1521,Papdum
1522,Bhatura Small
1523,Lunch Combo 2
1524,Chilli Chicken Wings
1525,Vegetable Uttapam
1526,Vegetable Pakora (4 Pc)
1527,Masala Tea
1528,Lamb Shahi Korma
1529,Catering Aloo Chole
1530,16 OZ Spicy Garlic Chutney
1531,Roti (Vegan)
1532,Punjabi Murgh Masala
1533,Pistachio Ice-Cream
1534,"""MLA"" Upma Pesarattu"
1535,Vegetable Momos
1536,Avakaya Chicken Dum Biryani
1537,Mirchi Pakora 1pc
1538,Keral Fish Curry
1539,"""Popeyes"" Paneer"
1540,Hyderabadi Chicken
1541,WATER
1542,Botled Poland Spring Water
1543,Chicken Tandoori Tange
1544,Chapathi
1545,Madras Machali
1546,Paneer Kurchan
1547,Goat ( Large Tray )
1548,Channa Masala Platter
1549,Lunch Chicken Kadahi
1550,Andhra Masala Fried Fish
1551,Ramen MO:MO
1552,Cheese Chutney Sandwich
1553,Gutti Vankaya Curry
1554,Inidian Masala Tea
1555,Ulavacharu Biryani-Chicken
1556,Ulavacharu Mini Idli
1557,Ginger Fish
1558,Subz Panchmeal
1559,Tadoori Roti
1560,White Rice
1561,Goan Shrimp Curry
1562,Lamb Nehari
1563,Chicken Muncharian
1564,Singapore Street Noodles
1565,Shahi Paneer Makhani
1566,Multi Layer Dosa
1567,Veg Curry Of The Day
1568,Sufyani Chicken Dum Biryani
1569,Meat - Tiffin Box For One - ???? ????? ?????
1570,Veg Samosa & Onion Samosa
1571,Lamb Karahi
1572,Minerva Special Vegetarian Platter
1573,Catering Goat Coconut
1574,Kashmiri Goat Hyderabadi
1575,Vegetable Momo Platter
1576,Corriander & Chilli Small
1577,Shrimp Samosa (2 Pcs)
1578,Vegetable Fried Rice (Indo-Chinese)
1579,Punjabi Chole Poori
1580,Chicken Seekh Kabab Platter
1581,Khasi Ko Saekuwa
1582,Passage Veg-Combo Lunch Specials
1583,Sweet Lassi (Party)
1584,Shrimp Fry
1585,Chatpate
1586,Chicken Mo Mo
1587,Lamb Seekh Kebab Awadhi
1588,Tandoori Chicken (Full)
1589,Veg. Fried Rice With Manchurian
1590,Mixed Grill
1591,Masala Goat
1592,Rice(MT)
1593,Malai Kebab
1594,Chicken Fried Rice (Indo-Chinese)
1595,Onion Samosa
1596,Chicken Roll-Up
1597,Aloo Mattar
1598,Chicken Malai Tikka
1599,Lunch Lamb Korma
1600,Shrimp Curry Large
1601,Mozzarell Cheese Naan
1602,Jalebi (Gurr) 1lb
1603,Onion Masala Dosa
1604,Small Rice
1605,BTL Red Wine
1606,Shrimp Pakora (6 Pieces)
1607,Khasta Kachori Chaat
1608,4. Chicken Chapli Platter
1609,Kerala Chicken Fry
1610,Chana Paneer Masala - House Special
1611,Dahi Puri
1612,Salty Lassi
1613,B. Fish Platter
1614,Lunch Special
1615,Paneer Chilli Medium
1616,Garden Salad
1617,Egg Uttappam
1618,ICE-CREAM
1619,Lamb Kabab Halal Burrito
1620,Vegetable Samosa (2 Pc)
1621,Vitamin Water
1622,Masala Buttermilk
1623,Hyderabadi. Goat Masala
1624,Konaseema Fish Fry
1625,Mango Lassi (Party)
1626,Til Wala Naan
1627,Catering Lamb Do-Piaza
1628,Cheese Jam
1629,Beef/Lamb/Goat Curry
1630,Hyderabadi Chicken Do Pyaza
1631,Papad (Gluten Free)
1632,Bottled Water
1633,Goat Fry Biryani
1634,Shrimp Mushroom Do-Piaza
1635,Aloo Bhindi
1636,Soft Drinks (Can)
1637,Gobi Manchuria Dry
1638,Shrimp Saagwala
1639,5 Cans Of Diet Coke
1640,Spinach Masala Dosa
1641,Chicken Tikka (Boneless)
1642,Vegetable Pakoras
1643,Shrimp Karahi
1644,Paneer Karahi
1645,Lamb Sagwala
1646,Aloo Palak Medium
1647,Cabernet Sau Bottle
1648,Szechuan Chicken Fried Rice
1649,DAAL MAKHANI BRUNCH
1650,Panner Kadai
1651,Garlic Beef
1652,Lamby Curry
1653,Plain Lassi
1654,Masala Sauce
1655,PANEER PAKORA MEDIUM
1656,Nepali Combo Menu 1
1657,Gobi 555
1658,Shrimp Saag
1659,Sweet / Salty Lassi 50
1660,Kadhai Paneer
1661,Beef Rogan Josh
1662,Vegan Bhindi Masala
1663,Plain Roti
1664,Lamb Dal (Lunch)
1665,Chili Paneer (Appitizer)
1666,Paan/Mitha Sweet
1667,Mint Chutney
1668,Nellore Curry (Fish)
1669,Vegetarian Samosa (2 Pcs.)
1670,Batata Vada 1 Pc
1671,Nabarton Korma ( Small Tray )
1672,Kulfi Falooda
1673,Rose Falooda
1674,Bread Basket
1675,PAAV BHAJI
1676,Special Pulav
1677,Aloo Simi
1678,Lamb Seekh Kebab
1679,"""Konaseema"" Shrimp Curry"
1680,Starry (Can)
1681,Szechuan Egg Noodles
1682,Side Chicken Curry
1683,Mis Mas Tarkari
1684,Daal Panchmela
1685,Veg Mo Mo
1686,Green Chili Chicken
1687,Kerala Fish Moilee
1688,Nawabi Veg Dum Biryani
1689,Makhni Dal
1690,Corn Vepudu
1691,Combo Thalli - Non Vegg
1692,Steamed Veggie MOMO
1693,Sambar Idli
1694,Schezuan Veg Fried Rice
1695,Honest Tea
1696,Swordfish Masala Medium
1697,Chilli Garlik Nann
1698,Kuchumber Salad
1699,Awadhi Dum Goat Biryani
1700,Lachcha Tawa Paratha
1701,Ghee Masala Dosa
1702,Chicken Curry Catering
1703,Pork Thukpa
1704,Kulfi-mango
1705,2 Idly / 2 Vada combo
1706,Veggie Biryani
1707,Paneer Tikka (2 Pcs)
1708,Paneer Biryani (Veg)
1709,Goat Hydrabadi
1710,FUDGE BROWNIE
1711,Chicken Schezwan Fried Rice
1712,Mulli Paratha (W/Raita)
1713,Paneer Tawa Biryani
1714,Gobi Paratha
1715,Paneer Tikka Saag
1716,PANEER DA ANDA MASALA
1717,Spinach Poori (Vegan)
1718,Veg Jal Freezi
1719,Rice Medium
1720,Okra Masala
1721,Goat Biryani Medium
1722,BAIGAN BHARTHA LUNCH
1723,Malai Kulfi
1724,Curry (Traditional Curry)
1725,Orange Juice
1726,Bhatura (1)
1727,Chicken Tikka Curry
1728,Boti Kabab Peshawri
1729,King Fisher
1730,Vegitable Momo
1731,Lamb Curry (Lunch)
1732,Masala Chai
1733,Spicy Maggi
1734,Kerala Fish Curry
1735,Lacha Paratha
1736,Chicken Samosa (Spicy)
1737,Vegetable Sweet Corn Soup
1738,Shrimp Tikka Salad
1739,Jarritos
1740,Veg Punjabi Pulav
1741,Hot Garlic Masala Dosa
1742,Aloo Mattar Lunch
1743,Jalebi Desi Ghee
1744,Naan Pizza Chicken
1745,House Garden Salad
1746,CHANNA TIKKA MASALA
1747,Afghani Chicken
1748,Chicken Madras Curry
1749,Paneer Roll-Up
1750,Lamb Saagwala
1751,Jelopinio Cheese Pakoda 1pc
1752,Tofu Curry
1753,Baigan Bharta
1754,Minerva Special Chicken 65
1755,Chicken Sambar Rice
1756,Soya Chops
1757,Korma Sauce 8 Oz
1758,Mini Uthappam
1759,Manchurian
1760,Idli 555
1761,Lunch Combo 1
1762,Pellegrino
1763,Swordfish Masala
1764,Butter Rice
1765,"""Rani Gari"" Kodi Vepudu (Cashewnut Special Fry)"
1766,Saag Tikki Chat
1767,Shahi Panner
1768,Chat Papri
1769,3. Chicken Gyro Platter
1770,Shrimp Curry Lunch
1771,Calamari
1772,Hot & Sour Veg Soup (Manchow)
1773,Puri Chole
1774,Veg Dum Biryani
1775,Vegetable Tikki
1776,Special Spring Dosa
1777,PANEER BUTTER MASALA
1778,Keema Dosa
1779,Vegetable Jalfrezi
1780,Nesquik
1781,Aloo Ko Mixed Achaar
1782,Mango Manchurian
1783,Goat Curry ( Small Tray )
1784,Paneer T. Masala
1785,Mulligatawny Chicken Soup
1786,Goat Sagg
1787,Kali Mirch Ke Tikka Large
1788,PUNJAB DE KADHI CHAWAL BRUNCH
1789,Shrimp Tempura
1790,Spicy Vegetable Momo
1791,Banana Lassi
1792,Chicken Keema Naan
1793,"NO ""HURRY"" CHICKEN CURRY"
1794,Dal Fry /Dal Yellow Tadka 8oz
1795,Idli (3 Pcs)
1796,Shrimp Vindaloo Large
1797,FUDGE BROWNIE W/HEATH
1798,Egg Pulusu
1799,Veg Samosa(2 pcs)
1800,Chicken Tandoori - Full
1801,Paneer And Vegetable Vindaloo
1802,Tava Chicken
1803,Lamb Mushrooms
1804,Murgh Mushroom Lunch
1805,Seafood Hydrabadi
1806,Fish Pulav
1807,Peshawary Naan
1808,Shrimp Saagwala Large
1809,Chocolate Volcano Cake
1810,Goat Madras
1811,Tea (Darjeeling)
1812,Kashmiri Naan
1813,Paneer Dopiazza
1814,Mix Vegetables Vindaloo
1815,Beef Hydrabad
1816,Vegetarian Samosa
1817,Veggie Fried Rice
1818,Vegetable Cutlet (3 Pieces)
1819,SHAHI MURGH KORMA
1820,TAVA MURGH
1821,Mango Chutney (Lunch)
1822,Cucumber Raita
1823,Non-Vegetarian Entree
1824,Bread Butter
1825,Lamb Shish Kabab
1826,Chili Chick Dry
1827,Vegetable Biryani Catering
1828,Special Indian Salad
1829,Lasoni Gobi
1830,Catering Chicken Korma
1831,Garden Salad ( Large Tray )
1832,Masala Rava Dosa
1833,Chicken Curry Lunch
1834,Chocolate Dosa (With Nutella)
1835,Tomato Soup
1836,Goat Roghan Josh
1837,Mango Avocado Chaat
1838,"""BUILD"" YOUR BHEL"
1839,Aloo Palak Large
1840,Keem Naan
1841,Shahi Navratan Korma
1842,Ande Ka Salan
1843,Roasted Papad (2pc)
1844,Catering Kadhai Paneer
1845,Chicken Pakora W/Fries
1846,Chicken Coconut Korma
1847,Catering Lamb Biryani
1848,Mixed Vegetable
1849,Paneer Cili (Veg)
1850,CANADA DRY CAN
1851,Coconut Ice-Cream
1852,Lamb Kheema Samosa (2 Pieces)
1853,Taj Special Mixed Grill
1854,Salmon Kebab
1855,Beef Vindaloo
1856,Barrah Baluchi (Boti Kebab)
1857,Shrimp Saag (Lunch)
1858,Plain Paratha Medium
1859,Tofu Biryani
1860,Chole Kulcha
1861,Plain Parantha
1862,Coriander & Chili Naan
1863,Chicken Tikka Boneless
1864,MT Butter Ck
1865,Masala Dosa
1866,Catering Chicken Tikka Kebab
1867,Chicken Kothu Paratha
1868,NAAN
1869,Egg Dosa
1870,TD Roti
1871,Bowl
1872,Chef's Special Wings
1873,LARGE MASALA CHIPS
1874,Kal Dosa
1875,Masala Uttapam
1876,Chicken ( Large Tray )
1877,SEXY SAMOSAS
1878,Tofu Do Piaza Medium
1879,Veggie Samosa
1880,Veggie T Masala
1881,Sarson Ka Saag
1882,MISS VICKIES SEA SALT & VINEGAR CHIPS
1883,Regular Korma
1884,Gold Peak Tea
1885,Panner Korma
1886,Shrimp Jalfrazie
1887,Aloo Paratha Small
1888,Chili Fish
1889,Kabuli Chana Masala
1890,House Salad
1891,Goat Pasanda
1892,Peshawari Naan
1893,Aloo Phool Gobhi Masala
1894,Mango Falooda
1895,Poori
1896,Chicken Vindalo
1897,Priya Cut Mirchi
1898,"""Godavari"" Junnu"
1899,Malai Kofta ( Small Tray )
1900,11. Falafel Platter
1901,Mixed Veg Curry (V)
1902,Vegetable Fried Rice
1903,Masala Wings
1904,Dum Aloo
1905,Egg Burji
1906,Set Dosa
1907,Beef Mushroom
1908,CRISPY BHINDI
1909,Taco
1910,Lunch Chicken Tikka Masala
1911,Tandoori Chicken Large
1912,CHEF SALAD WITH CHICKEN
1913,Mullgatwney (Lentil)
1914,Chole Bhatura
1915,Vegetable Gongura Curry
1916,Kashmiri Goat Saag
1917,PANEER PAKORA SMALL
1918,Shrimp Masala Small
1919,Lamb Biryani Large
1920,Allo Matter
1921,Bhuna Lamb
1922,Gobhi Munchiarn
1923,Chicken Tikka Nan Roll-Up
1924,Ginger Beer
1925,GODAVARI SPECIAL Veg Platter
1926,Shahi Paneer Korma
1927,Kadai Vegetable
1928,Chicken Tikka Biryani
1929,Baingan Bharta Large
1930,Veggie Side Entree
1931,Dinner (For Two) Non-Vegetarian
1932,Catering Garlic Naan
